episode,cost,reward
0,95134.97108487986,-95.13497108487984
1,86063.18294290603,-86.06318294290602
2,119446.55803293244,-119.44655803293244
3,75267.74156524135,-75.26774156524137
4,70313.16749878471,-70.31316749878471
5,80417.86213917639,-80.41786213917639
6,76702.43663968629,-76.70243663968628
7,96131.29163020762,-96.1312916302076
8,89962.69142867714,-89.96269142867713
9,78719.94370457546,-78.71994370457547
10,106822.16397130808,-106.82216397130807
11,97166.65293484562,-97.16665293484562
12,102565.60772071543,-102.56560772071542
13,93836.10791787936,-93.83610791787939
14,68284.82647817982,-68.28482647817982
15,76801.81089103468,-76.80181089103468
16,91059.58102838368,-91.05958102838362
17,91729.56636626633,-91.72956636626634
18,69126.43298799347,-69.1264329879935
19,76141.50040417892,-76.1415004041789
20,73320.78231513537,-73.32078231513533
21,96685.87046803659,-96.68587046803653
22,85370.67212430191,-85.37067212430193
23,72723.55805626995,-72.72355805626994
24,82644.453869705,-82.64445386970502
25,90589.25132146354,-90.58925132146352
26,68037.80707823214,-68.03780707823215
27,82259.96090309777,-82.25996090309778
28,89513.30066540561,-89.51330066540567
29,92772.37311596166,-92.77237311596166
30,77849.30683497062,-77.84930683497062
31,75767.7562106037,-75.7677562106037
32,79447.32103374254,-79.44732103374261
33,102565.21906060132,-102.5652190606013
34,100042.27950929829,-100.04227950929831
35,84612.3647821487,-84.61236478214873
36,92053.09467176392,-92.05309467176393
37,69803.45954417746,-69.80345954417746
38,73663.22542240903,-73.66322542240901
39,63027.93150819116,-63.02793150819116
40,84142.71356490158,-84.14271356490157
41,83565.82971798358,-83.56582971798358
42,101488.34874325452,-101.48834874325452
43,81712.4354888909,-81.7124354888909
44,89154.38003844861,-89.15438003844864
45,92583.01483441342,-92.58301483441339
46,101791.6247541902,-101.79162475419012
47,71274.85993191689,-71.27485993191691
48,107059.67471073825,-107.0596747107382
49,99144.06446644462,-99.14406446644458
